[CHECKSUM=1:18:1029]
[DATE=2009-11-23 16:09:59]
[ENCODING=ISO-8859-4]

#
#  Language file: English
#  Supplier: www.saurus.info 
#


# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
404error;Error 404 - page not found;Error 404 - page not found;
add_cart;The item has been added to the cart;The item has been added to the cart;
Album;Album;Album;
Artiklid;1 Column Layout;1 Column Layout;
Artiklid 2 veerus;2 Column Layout;2 Column Layout;
Artiklite pealkirjad;Article headlines;Article headlines;
default;Default;Default;
Dokumendid;Documents;Documents;
error_page;Error message page;Error message page;
Event calendar;Event calendar;Event calendar;
External application;External application;External application;
Foorum;Forum;Forum;
gallup_arhiiv;Poll's archive;Poll's archive;
gallup_ip_olemas;Error message for repeating IP (Poll);Error message for repeating IP (Poll);
gallup_ok;Poll results OK;Poll results OK;
home;Homepage;Homepage;
kasutaja_locked;User blocked;User blocked;
kasutaja_registreeritud;User already registered;Thank you for registering;
kasutaja_uuendatud;User updated;User updated;
login_incorrect;Login incorrect;Login incorrect;
Metadata;Metadata;Metadata;
ok_page;OK page;OK page;
Registreerimisvorm;Registration form;Registration form;
save_cart;The cart has been saved;The cart has been saved;
system;System;System section;
Tappisotsing;Advanced search;Advanced search;
trash;Recycle Bin;Recycle Bin;
tyhiotsing;Empty search result message;Empty search result message;
tyyp_Album;Album;Album;
tyyp_Artikkel;Article;Article;
tyyp_asset;Custom asset;Custom asset;
tyyp_Dokument;Document;Document;
tyyp_Event;Event;Event;
tyyp_file;File;File;
tyyp_folder;Folder;Folder;
tyyp_Gallup;Poll;Poll;
tyyp_Iframe-kast;Iframe-box;Iframe-box;
tyyp_Kommentaar;Comment;Comment;
tyyp_Lingikast;Link list;Link list;
tyyp_link;link;link;
tyyp_Login-kast;Login-box;Login-box;
tyyp_Pilt;Picture;Picture;
tyyp_product_category;Product catalog;Product catalog;
tyyp_resource;Resource;Resource;
tyyp_Rubriik;Section;Section;
tyyp_Teema;Topic;Topic;
tyyp_Uudistekogu;Article's list;Article's list;
tyyp_Valine link;Link;Link;
unustatud_parool_saadetud;Forgotten password sent;Forgotten password sent;
Uudised;News with Archiveing;News with Archiveing;
your_IP_disabled;User IP blocked;User IP blocked;



[editor:3:Editor]
access denied;Access denied;Access denied;
Address;Aadress;Address;
add_images;add_images;add_images;
advanced;Advanced;Advanced;
Aeg;Time;;
Alampuu;Sub-tree;Sub-tree;
Alates;Since;Since;
albumis on;This album contains;This album contains;
Algatatud;Started;Started;
Anonymous;Anonymous;Anonymous;
Another editor is editing this document right now;Another editor is editing this document right now;Another editor is editing this document right now;
Apply;Apply;Apply;
artikkel;Article;Article;
Artiklite arv;Number of articles;Number of articles;
asset;Custom asset;Custom asset;
asub veel kohtades;Is located on following places;Is located on following places;
Autor;Author;Author;
avaldamine;Publishing;Publishing;
Avaldatud;Publish;Publish;
Avatud;Opened;Opened;
Avatud artiklid;Open articles;Open articles;
big_file;File size exceeds allowed limits!;File size exceeds allowed limits!;
Choose;Choose;Choose;
choose_a_folder;choose_a_folder;choose_a_folder;
Close;Close;Close;
Content template;Content template;Content template;
context_button_edit;Edit;Edit;
context_button_move_down;Move down;Move down;
context_button_move_up;Move up;Move up;
context_button_unpublish;Unpublish;Unpublish;
Copy permissions to subtree;Copy permissions to subtree;Copy permissions to subtree;
Create;Create;Create;
delete_object_alert;NB! This object is located in other sections also. The object will be deleted from all sections!;NB! This object belongs to multiple sections. It will be deleted from ALL of these sections!;
delete_section_alert;NB! This section includes objects which are published also in other sections. <br>These objects are deleted only from this section.;NB! This section includes objects which are published also in other sections. <br>These objects are deleted only from this section.;
delete_table;Delete Table;Delete Table;
do you want to permanently delete;Do you want to delete this permanently?;Do you want to delete this permanently?;
dokument;Document;Document;
download;Download;Download;
E-mail;E-mail;E-mail;
Eelmine pilt;Previous;Previous;
Encoding;Encoding;Encoding;
End date is sooner than start date;End date is sooner than start date;End date is sooner than start date;
eraldaja;Divider;Divider;
Event;Event;Event;
Expires;Expires;Expires;
Fail;File;File;
Faili nimi juba kinni;Filename already in use;Filename already in use;
Faili salvestamisel tekkis viga;Error in saving file;Error in saving file;
fieldname;fieldname;Field name;
Filename;File name;Filename;
fm_choose_file_into_article;Choose a file to insert file into article;Choose a file to insert file into article;
fm_choose_file_into_profile_field;Choose a file;Choose a file;
fm_choose_user_image;Choose an image as user image;Choose an image as user image;
fm_insert_file_into_article;Insert file into article;Insert file into article;
fm_insert_file_into_profile_field;Insert file;Insert file;
fm_use_user_image;Use image;Use image;
folder;Folder;Folder;
Foorum lubatud;Allow comments;Allow comments;
Forbidden;Forbidden;Forbidden;
Forum alert: Your question has been sent;Your question has been sent.;Your question has been sent.;
Forum link: Show all questions;Show all questions;Show all questions;
Forum link: Show only new questions;Show only new questions;Show only new questions;
Friendly_URL;Alias;Alias;
gallup;Poll;Poll;
Hide in menu;Hide in navigation menu;Hide in navigation menu;
Hyperlink;Hyperlink;Hyperlink;
Image files directory;Image files directory;Image files directory;
Image size;Image size;Image size;
Is FAQ;Is FAQ;Is FAQ;
Jargmine pilt;Next;Next;
Jrk.nr;Nr.;Nr.;
Kas tahate kustutada;Do you want to delete?;Do you want to move this to the Recycle bin?;
Kasutajad;Users;Persons;
Kasutajanimi;Username;Username;
Katkesta;Cancel;Cancel;
Keel;Language;Language;
Kirjad;Messages;Messages;
Kirjeldus;Description;Description;
Kirju;Messages;Messages;
kogumik;Article list;Article list;
kohustuslik;required;required;
koik;All;All;
Kommentaar;Comment;Comment;
Kujundusmall;Design template;Design template;
Kuni;Until;Until;
Kustuta;Delete;Delete;
Laius;Width;Width;
Leiti;Found;Found;
Link;Hyperlink;Hyperlink;
Lisa;Add;Add;
Lisa pilte;Add picture(s);Add picture(s);
loginkast;Login module;Login module;
Luhend;Abbreviation;Abbreviation;
Lukus;Locked;Locked;
maaratud pealkiri;Headline can't be empty!;Headline can't be empty!;
Mall muudetav;Changeable template;Changeable template;
Mall tyhi;Empty template;Empty template;
Metadata;Metadata;Metadata;
Metainfo;Metainfo;Metainfo;
Muuda;Change;Change;
Naita alamartiklid;Show subarticles;Show subarticles;
Naita kuupaev;Show dates;Show dates;
Naita prindi ikoon;Show tools icons;Show tool icons;
New;New;New;
New child;New child;New child;
Nimetus;Name;Name;
Nimi;Name;Name;
No;No;No;
Objects;Objects;Objects;
object_changed;Changed;Modified;
object_created;Created;Created;
Objekt;Object;Object;
OK;OK;OK;
On kuupaev;Use date;Use date;
On meilinglist;Add mailinglist;Add mailinglist;
On noutud;On noutud;Required;
On select;On select;On select;
Open in new window;Open in new window;Open in new window;
or;or;or;
