[CHECKSUM=0:18:1029]
[DATE=2009-11-23 16:10:13]
[ENCODING=UTF-8]

#
#  Language file: Estonian
#  Supplier: www.saurus.info 
#  

# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
404error;Error 404 - page not found;404 viga - lehekülge ei leitud;
add_cart;The item has been added to the cart;Toode on lisatud ostukorvi;
Album;Album;Album;
Artiklid;1 Column Layout;Artiklid;
Artiklid 2 veerus;2 Column Layout;Artiklid 2 veerus;
Artiklite pealkirjad;Article headlines;Artiklite pealkirjad;
default;Default;default;
Dokumendid;Documents;Dokumendid;
error_page;Error message page;Vea lehekülg;
Event calendar;Event calendar;Sündmuste kalender;
External application;External application;Väline rakendus;
Foorum;Forum;Foorum;
gallup_arhiiv;Poll's archive;Gallupi arhiiv;
gallup_ip_olemas;Error message for repeating IP (Poll);IP on juba hääletanud;
gallup_ok;Poll results OK;Hääletamise tänud;
home;Homepage;Kodurubriik;
kasutaja_locked;User blocked;Kasutaja blokeeritud;
kasutaja_registreeritud;User already registered;Kasutaja registreeritud;
kasutaja_uuendatud;User updated;Kasutaja andmed salvestatud;
login_incorrect;Login incorrect;Vigane sisselogimine;
Metadata;Metadata;Metadata;
ok_page;OK page;Ok Leht;
Registreerimisvorm;Registration form;Registreerimisvorm;
save_cart;The cart has been saved;Ostukorv on salvestatud;
system;System;Süsteemirubriik;
Tappisotsing;Advanced search;Täppisotsing;
trash;Recycle Bin;Prügikast;
tyhiotsing;Empty search result message;Tühi Otsingutulemus;
tyyp_Album;Album;Album;
tyyp_Artikkel;Article;Artikkel;
tyyp_asset;Custom asset;Eriobjekt;
tyyp_Dokument;Document;Dokument;
tyyp_Event;Event;Sündmus;
tyyp_file;File;Fail;
tyyp_folder;Folder;Kataloog;
tyyp_Gallup;Poll;Gallup;
tyyp_Iframe-kast;Iframe-box;Iframe-kast;
tyyp_Kommentaar;Comment;Kommentaar;
tyyp_Lingikast;Link list;Lingikast;
tyyp_link;link;link;
tyyp_Login-kast;Login-box;Login-kast;
tyyp_Pilt;Picture;Pilt;
tyyp_product_category;Product catalog;Tootekataloog;
tyyp_resource;Resource;Ressurss;
tyyp_Rubriik;Section;Rubriik;
tyyp_Teema;Topic;Teema;
tyyp_Uudistekogu;Article's list;Uudistekogu;
tyyp_Valine link;Link;Hüperlink;
unustatud_parool_saadetud;Forgotten password sent;Unustatud parool saadetud;
Uudised;News with Archiveing;Uudised;
your_IP_disabled;User IP blocked;Kasutaja IP aadress on blokeeritud;



[editor:3:Editor]
access denied;Access denied;Kasutajal pole õigust selle operatsioonile;
Address;Aadress;Aadress;
add_images;add_images;Lisa pilte;
advanced;Advanced;Täiendav;
Aeg;Time;Aeg;
Alampuu;Sub-tree;Alampuu;
Alates;Since;Alates;
albumis on;This album contains;Albumis on;
Algatatud;Started;Algatatud;
Anonymous;Anonymous;Anonüümne;
Another editor is editing this document right now;Another editor is editing this document right now;Seda dokumenti muudetakse parajasti teise toimetaja poolt;
Apply;Apply;Uuenda;
artikkel;Article;Artikkel;
Artiklite arv;Number of articles;Artiklite arv;
asset;Custom asset;Eriobjekt;
asub veel kohtades;Is located on following places;asub veel kohtades;
Autor;Author;Autor;
avaldamine;Publishing;Avaldamine;
Avaldatud;Publish;Avaldatud;
Avatud;Opened;Avatud;
Avatud artiklid;Open articles;Avatud artikleid;
